battery_id,discharge_cycle_index,ambient_temperature_C,capacity_Ah,SoH_pct,voltage_mean,voltage_min,voltage_max,current_mean,current_min,temperature_mean,temperature_max,discharge_duration_s,base_predicted_soh,residual_correction,adapted_predicted_soh
CALCE_CS2_35,93,40.10099745579609,0.9269,84.27,3.525,2.546,4.128,-2.172,-2.255,44.31,49.12,1518.6,78.38,10.78,89.16
CALCE_CS2_35,94,40.17315103883402,0.9271,84.29,3.556,2.553,4.136,-2.142,-2.264,44.42,49.4,1504.2,78.86,10.89,89.75
CALCE_CS2_35,95,39.75994071858885,0.9251,84.1,3.548,2.513,4.135,-2.147,-2.27,44.35,49.2,1517.9,78.57,10.89,89.47
CALCE_CS2_35,96,39.93309975283181,0.9181,83.47,3.53,2.528,4.13,-2.14,-2.256,44.42,49.17,1495.9,78.49,10.78,89.27
CALCE_CS2_35,97,39.905010937767806,0.9253,84.11,3.516,2.54,4.133,-2.144,-2.214,44.11,49.5,1508.8,77.49,10.72,88.22
CALCE_CS2_35,98,39.869334153485255,0.9234,83.95,3.546,2.531,4.125,-2.101,-2.237,44.03,49.16,1516.9,78.42,10.78,89.21
CALCE_CS2_35,99,40.35309084805622,0.9205,83.68,3.53,2.535,4.135,-2.163,-2.261,44.96,49.36,1518.6,78.32,10.89,89.21
CALCE_CS2_35,100,40.08099634219219,0.9176,83.42,3.542,2.524,4.129,-2.161,-2.239,44.25,49.4,1501.8,78.32,10.78,89.1
CALCE_CS2_35,101,39.74782320913299,0.9101,82.73,3.513,2.529,4.127,-2.162,-2.222,44.22,49.12,1492.3,77.36,10.82,88.18
CALCE_CS2_35,102,40.18357238941096,0.9134,83.04,3.522,2.525,4.134,-2.161,-2.232,43.89,49.65,1511.7,77.64,10.72,88.36
CALCE_CS2_35,103,40.42443123940253,0.9121,82.92,3.526,2.537,4.125,-2.163,-2.249,44.37,49.32,1495.0,77.72,10.78,88.51
CALCE_CS2_35,104,40.20649305211023,0.9082,82.56,3.526,2.527,4.121,-2.126,-2.263,44.18,49.17,1512.2,77.72,10.89,88.62
CALCE_CS2_35,105,39.6961260068092,0.9098,82.71,3.519,2.526,4.12,-2.122,-2.236,45.09,49.59,1494.4,77.48,10.82,88.29
CALCE_CS2_35,106,39.90315318542675,0.9109,82.81,3.529,2.517,4.13,-2.161,-2.242,44.92,49.18,1473.0,77.41,10.78,88.19
CALCE_CS2_35,107,40.25338222983733,0.9167,83.34,3.511,2.515,4.12,-2.167,-2.232,44.43,49.48,1507.6,77.04,10.72,87.77
CALCE_CS2_35,108,39.85846610687624,0.9065,82.41,3.519,2.514,4.135,-2.141,-2.237,45.34,49.5,1487.2,77.14,10.78,87.93
CALCE_CS2_35,109,40.08876388562925,0.9053,82.3,3.52,2.52,4.115,-2.161,-2.229,44.97,49.85,1494.3,77.14,10.72,87.87
CALCE_CS2_35,110,40.154926810685865,0.902,82.0,3.523,2.511,4.133,-2.137,-2.261,44.6,49.69,1482.8,77.3,10.89,88.19
CALCE_CS2_35,111,39.81461390568438,0.8912,81.02,3.524,2.516,4.126,-2.146,-2.224,43.97,49.57,1456.9,77.3,10.72,88.02
CALCE_CS2_35,112,39.98809492878764,0.899,81.73,3.504,2.533,4.124,-2.18,-2.246,45.43,49.85,1458.9,76.03,10.82,86.85
CALCE_CS2_35,113,39.35174653198619,0.8978,81.62,3.499,2.519,4.121,-2.119,-2.208,44.34,50.04,1467.1,75.59,10.82,86.41
CALCE_CS2_35,114,39.79512247173314,0.9082,82.57,3.526,2.506,4.125,-2.114,-2.264,44.29,49.82,1477.7,77.3,10.89,88.19
CALCE_CS2_35,115,39.94948636972137,0.8934,81.21,3.515,2.52,4.122,-2.162,-2.215,45.11,49.68,1456.1,76.88,10.72,87.61
CALCE_CS2_35,116,39.75044336360703,0.8942,81.29,3.503,2.502,4.128,-2.158,-2.246,45.55,49.31,1469.2,75.95,10.88,86.83
CALCE_CS2_35,117,40.32648226078633,0.8909,80.99,3.525,2.484,4.122,-2.144,-2.263,45.26,49.41,1474.6,77.18,10.89,88.07
CALCE_CS2_35,118,39.71397172440788,0.8837,80.33,3.51,2.493,4.122,-2.143,-2.26,45.03,49.66,1449.9,76.75,10.88,87.63
CALCE_CS2_35,119,39.9119911026606,0.8936,81.24,3.519,2.483,4.119,-2.137,-2.256,45.06,49.59,1450.3,76.98,10.78,87.77
CALCE_CS2_35,120,40.02614811545722,0.8901,80.92,3.507,2.496,4.12,-2.11,-2.242,45.16,49.74,1460.9,76.55,10.78,87.33
CALCE_CS2_35,121,40.288254657813226,0.8887,80.79,3.525,2.499,4.121,-2.154,-2.24,45.15,49.84,1466.2,77.1,10.78,87.88
CALCE_CS2_35,122,39.71282756976411,0.8786,79.87,3.521,2.514,4.11,-2.166,-2.261,45.02,50.01,1431.6,76.94,10.98,87.93
CALCE_CS2_35,123,40.232632750430994,0.8885,80.78,3.5,2.499,4.112,-2.178,-2.25,44.99,49.85,1452.7,75.58,10.82,86.39
CALCE_CS2_35,124,40.00204661220392,0.8729,79.36,3.511,2.492,4.122,-2.165,-2.207,44.96,50.05,1428.6,76.67,10.72,87.39
CALCE_CS2_35,125,39.80369826979041,0.8813,80.12,3.506,2.501,4.118,-2.151,-2.215,44.77,49.94,1434.3,76.47,10.72,87.19
CALCE_CS2_35,126,40.092420694852656,0.8877,80.7,3.512,2.469,4.116,-2.114,-2.241,44.94,49.36,1459.1,76.54,10.78,87.33
CALCE_CS2_35,127,40.03981193911469,0.8703,79.11,3.488,2.492,4.117,-2.16,-2.249,44.53,49.69,1422.9,74.65,10.78,85.44
CALCE_CS2_35,128,39.87995662456824,0.8708,79.16,3.503,2.496,4.118,-2.146,-2.248,45.03,49.96,1429.2,75.69,10.78,86.48
CALCE_CS2_35,129,40.013960416998,0.8726,79.32,3.506,2.472,4.113,-2.15,-2.238,44.78,49.66,1419.0,76.27,10.78,87.05
CALCE_CS2_35,130,39.92293728062765,0.868,78.91,3.476,2.496,4.111,-2.126,-2.27,44.77,50.23,1416.0,74.69,10.89,85.59
CALCE_CS2_35,131,40.02270346905025,0.8612,78.29,3.481,2.487,4.115,-2.099,-2.255,45.17,50.53,1416.4,74.65,10.78,85.44
CALCE_CS2_35,132,40.13242613490421,0.8677,78.88,3.471,2.478,4.109,-2.161,-2.283,45.56,50.47,1416.2,74.65,10.89,85.55
CALCE_CS2_35,133,40.31720336322907,0.8605,78.23,3.488,2.487,4.116,-2.16,-2.242,45.44,50.06,1425.4,74.65,10.78,85.44
CALCE_CS2_35,134,39.75243690023463,0.8666,78.78,3.496,2.502,4.104,-2.129,-2.237,44.71,50.6,1414.1,74.68,10.78,85.47
CALCE_CS2_35,135,40.42660667493125,0.8581,78.01,3.503,2.479,4.118,-2.136,-2.26,44.9,50.22,1406.4,75.63,10.78,86.41
CALCE_CS2_35,136,39.6095824400955,0.8689,78.99,3.488,2.478,4.114,-2.113,-2.219,45.5,50.1,1431.2,74.58,10.82,85.39
CALCE_CS2_35,137,39.96964298099288,0.8557,77.79,3.502,2.47,4.113,-2.138,-2.275,44.95,50.04,1386.0,75.55,10.89,86.45
CALCE_CS2_35,138,40.11766344129691,0.8564,77.86,3.471,2.465,4.116,-2.157,-2.279,45.19,50.16,1383.8,74.56,10.89,85.46
CALCE_CS2_35,139,40.056198373547005,0.8606,78.23,3.466,2.48,4.119,-2.138,-2.246,45.45,50.16,1393.0,74.45,10.78,85.23
CALCE_CS2_35,140,39.87546009603588,0.8488,77.16,3.481,2.461,4.115,-2.128,-2.229,45.01,50.35,1401.6,74.53,10.72,85.25
CALCE_CS2_35,141,39.95837554992855,0.8546,77.69,3.485,2.469,4.1,-2.134,-2.216,45.35,50.37,1392.9,74.53,10.72,85.25
CALCE_CS2_35,142,39.90139981306823,0.8584,78.04,3.479,2.462,4.103,-2.14,-2.259,44.94,50.35,1430.3,74.53,10.78,85.31
CALCE_CS2_35,143,39.88212704861116,0.8423,76.58,3.458,2.47,4.105,-2.129,-2.228,45.18,50.51,1372.7,74.3,10.72,85.03
CALCE_CS2_35,144,40.16992041940421,0.8498,77.25,3.476,2.467,4.108,-2.127,-2.251,45.48,50.76,1392.4,74.53,10.78,85.31
CALCE_CS2_35,145,40.07140309719301,0.8486,77.15,3.463,2.473,4.11,-2.122,-2.253,44.92,50.71,1404.1,74.43,10.78,85.21
CALCE_CS2_35,146,39.86141808094787,0.8497,77.24,3.481,2.456,4.103,-2.137,-2.232,45.55,50.0,1410.5,74.5,10.72,85.22
CALCE_CS2_35,147,40.17991997508665,0.8381,76.19,3.477,2.457,4.107,-2.153,-2.237,45.43,49.71,1392.0,74.34,10.78,85.13
CALCE_CS2_35,148,40.06145990417532,0.8361,76.01,3.463,2.448,4.102,-2.147,-2.282,45.63,50.78,1380.3,74.27,10.89,85.16
CALCE_CS2_35,149,40.16257242376779,0.8438,76.71,3.466,2.452,4.102,-2.126,-2.22,45.55,50.11,1391.1,74.27,10.72,84.99
CALCE_CS2_35,150,40.125925768384725,0.8412,76.47,3.459,2.459,4.098,-2.166,-2.222,45.91,50.48,1382.4,74.11,10.72,84.83
